designation,split,y,w,aov_F,amp_snr,max_phase_gap,n_cycles_observed,n_points,loo_worst_chi2,power_ratio,fap,n_visits,n_sectors,baseline_hr,n_outliers_rejected,frac_points_stacked,phase_angle_range_deg,median_n_stack,pk_over_med,pk_prom,pk_snr
(38270) Wettzell,lcdb,1,0.2,2.94952550210372,2.0096523030167064,0.109711156919151,275.03663764276234,65.0,1.910611889850443,1.0,0.0060233045422962,8,3,1823.9973931790448,0,1.0,6.654164297535932,21.0,15.066764127885827,2.4083185723194367,13.801659434768473
(38273) 1999 RN42,lcdb,0,0.4,2.109096672105077,0.5326589351355145,0.0037558720893666,5510.9170666986965,1371.0,2.93485575489549,1.0,0.9594953068187332,20,5,10970.574701808391,13,0.3872832369942196,14.8440218941687,1.0,14.141106625132252,2.1640565562828367,12.598559489246943
(38293) 1999 RK85,lcdb,0,0.6,4.210437156774869,1.3297783111526256,0.0263695300673828,3.94004529948618,413.0,4.212946000516812,1.0,0.0199606288733524,5,2,921.4576320711058,4,1.0,11.893044617223184,3.0,16.916354128611918,2.720802955424051,15.381616407939582
(38301) 1999 RH92,lcdb,0,0.4,2.1619068656978664,2.5130075809163537,0.0693714543765117,324.8596575141333,65.0,,1.0,0.2530414739431592,2,1,410.70547960099066,0,1.0,1.739151815026986,6.0,9.943111644788122,1.5474941358778918,8.541574656066132
(38323) 1999 RB127,lcdb,1,0.6,16.57051402027619,1.7132037050307636,0.001841365254856,88.55332953481482,1732.0,1.928761912637669,1.0,1.5299784909798677e-29,5,1,581.1982753170887,8,0.0,9.483511387733058,1.0,86.07440758228094,3.6118299675180983,78.24420294489771
(38382) 1999 RZ175,lcdb,1,0.2,7.4483814605489025,3.1358153348497853,0.0900673567583923,20.245252133194487,110.0,,1.0,2.9180316072186803e-08,2,1,150.18104139261413,1,1.0,0.6650136270118416,4.0,28.34561346889725,2.57249479707671,27.73541203356608
(38396) 1999 RU193,lcdb,0,0.6,18.317864528910896,2.173854596322452,0.0082844220589664,9.644029774135632,950.0,3.0943378393959,1.0,2.670392126574218e-41,4,1,523.4918377844151,7,0.0,8.650305273047598,1.0,109.40332651764126,5.936937408867373,99.63472037840307
(38405) 1999 RS202,lcdb,1,0.2,3.549167388045785,1.3334100151038208,0.0155194810447801,207.63076219159552,444.0,2.2003671010933203,1.0,0.915749173733016,9,3,1831.738546837878,9,1.0,12.05869352346592,7.0,19.686423582186915,2.683429526710155,18.29339077070151
(38413) 1999 RY211,lcdb,1,0.6,23.079074485548738,2.559079211613721,0.0044933080387259,1540.5247156672176,1117.0,4.064489008361133,1.0,2.984404790416159e-70,4,2,9010.204156833292,16,0.0158870255957634,12.37947171951735,1.0,202.31556473121748,13.964105875989604,183.70469915222384
(38426) 1999 RT230,lcdb,1,0.6,21.399680095583935,2.145434527484375,0.0073237442223531,30.58381588510081,1061.0,1.677245234267868,1.0,7.623600732263924e-64,9,2,1068.6819401996909,2,1.0,3.43343864501621,3.0,230.91970373272216,16.129229153429897,220.1786002545967
(38453) 1999 TU1,lcdb,1,0.6,519.5021595502867,6.9912811439222695,0.0036973346940902,298.366517259389,3679.0,2.4199250526884755,1.0,0.0,11,3,1827.5713777351775,24,0.3516068052930057,12.280201464871158,1.0,2789.477852327894,44.63551769986693,2524.9137490061257
(38454) Boroson,lcdb,1,0.6,966.1108296116756,9.777716193283643,0.0007222628308491,18.477518409266004,6958.0,8.777023413572863,1.0,0.0,19,4,2558.231009747309,19,0.0341120825569729,20.849221844181784,1.0,11058.07108016552,54.58627156036878,9896.97903456752
(38457) 1999 TJ9,lcdb,1,0.6,35.16162848282215,2.3626741059827694,0.0024450358321888,154.6159731296534,1703.0,1.5259171932780902,1.0,2.695555786979637e-91,6,1,610.9298324008123,10,0.0017513134851138,4.274752311326487,1.0,200.65409395557265,13.292928165347396,191.93723909303444
(38493) 1999 TT117,lcdb,1,0.2,2.1768219610551247,0.611943131115057,0.0117414705623449,110.47879131433258,629.0,1.6154060370160814,1.0,0.0196885076060868,5,2,764.1324801077717,4,0.4012638230647709,9.295262983498557,1.0,17.18486264472586,2.427633339375233,15.70419916411755
(38499) 1999 TT161,lcdb,1,0.2,3.820599921477232,1.064566859204165,0.0214212481583143,125.54361678184787,250.0,0.861130099937996,1.0,0.0111873659007529,4,2,1079.680842040514,1,1.0,12.475654417099252,5.0,16.56376265606245,2.5162837803579956,14.789214356252169
(38512) 1999 TU233,lcdb,1,0.2,2.116965799102544,1.0685393909001422,0.014937729725561,10.68604443763329,278.0,2.133640214217588,1.0,0.7117964507256214,4,1,525.9207093888544,7,0.9964912280701754,2.7341510076594044,4.0,15.017030712136854,1.983634722195598,13.433486130737224
(38516) 1999 TQ248,lcdb,1,0.6,135.5196193496003,2.732051443544447,0.0021102208564055,247.88581535982064,2871.0,6.693711663163423,1.0,0.0,7,3,1251.1978697984596,9,0.0038194444444444,10.76156691077862,1.0,873.0028272416153,31.0215594832744,798.0183331879431
(38521) 1999 TG262,lcdb,1,0.2,10.316023103727996,0.8964283802940742,0.014712401178115,5.357825432315573,1568.0,1.8987616351593213,1.0,2.7175903631499755e-14,8,2,1213.967158211104,10,0.6216730038022814,12.119352743778224,2.0,54.79316769753644,6.1164488634322245,50.69593680239674
(38535) 1999 UO42,lcdb,0,0.6,52.98676719686743,2.320578142652499,0.0038661580094573,34.02335939413254,1929.0,2.813131289519428,1.0,2.9717220404500288e-148,11,3,1875.1424509632052,19,0.3660164271047228,8.695282933977392,1.0,479.53693519585306,24.728446635533817,449.3776175771833
(38537) 1999 UJ43,lcdb,0,0.6,2.633276283009766,0.7602920388972911,0.0100136395282988,1817.430128091728,638.0,3.514196188042799,1.0,0.3780012318007221,7,3,10518.657936588745,5,1.0,9.193192759686616,2.0,13.01768875050935,2.0103556969889698,11.56193241389259
(38540) Stevens,lcdb,1,0.2,4.994227896585388,1.8438733088026409,0.0531175918408527,90.50769408357417,259.0,1.2293406319616698,1.0,2.12810830668965e-08,3,1,595.6129711058456,0,1.0,1.0549395112930426,3.0,32.42606350846459,4.655304852517859,30.69954795160417
